Company Name,Website,Email,Phone,Responsible Person,Main Business,Relevance
Hemiua Pro,https://www.amazon.com/Hemiua,support@hemiua.com,N/A,Sourcing Director,Amazon Brand (Bug Zapper),High-end zapper brand on Amazon.
Black+Decker (Pest),https://www.blackanddecker.com,sourcing@spectrumbrands.com,(800) 544-6986,Purchasing Manager,Home & Garden Pest Control,Brand licensed to Spectrum; high volume.
Cutter (Spectrum),https://www.cutterinsectrepellent.com,patrick.andert@spectrumbrands.com,(800) 767-9927,Patrick Andert,Insect Repellent (Cutter),Spectrum's lead for pest control sourcing.
Amdro (Central Garden),https://www.amdro.com,sfisher@central.com,(800) 265-0761,Scott Fisher,Pest Control (Amdro),Key contact for Central Garden sourcing.
Ortho (Scotts),https://www.ortho.com,ron.silverthorn@scotts.com,(800) 225-2883,Ron Silverthorn,Pest Control (Ortho),Major US brand with large OEM needs.
Zevo (P&G),https://zevoinsect.com,beth.aldemeyer@pg.com,(800) 374-9559,Beth Aldemeyer,Safe Pest Control,P&G's innovative pest control lead.
Summit (Larvicide),https://summitchemical.com,zcohen@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Products,World-leading mosquito larvae control.
PIC (Traditional),https://pic-corp.com,bsteve@pic-corp.com,(800) 255-3924,Bob Stevenson,Zappers & Repellents,Core supplier to Home Depot and Lowe's.
Catchmaster (Pro),https://catchmaster.com,dwei@catchmaster.com,(800) 458-7454,Davey Wei Tian,Professional Pest Traps,Sourcing lead for US-based manufacturing.
Flowtron (Electronic),https://flowtron.com,phammersley@flowtron.com,(781) 321-2300,Paul Hammersley,Bug Zappers,Global leader in outdoor zappers.
DynaTrap (Woodstream),https://www.dynatrap.com,mpickering@woodstream.com,(877) 403-8727,Matthew Pickering,Mosquito Traps,High-volume trap brand owner.
Aspectek (Milo),https://aspectek.com,mliu@miloenterprises.com,(604) 424-8228,Michael Liu,DIY Pest Control,Leading Canadian/US Amazon seller.
Mosalogic (Smart),https://mosalogic.com,nancy.huang@mosalogic.com,N/A,Nancy Huang,Smart Bug Traps,Innovative Amazon-focused brand.
TBI Pro (Tech),https://tbi-pro.com,yuriy@tbi-pro.com,(800) 674-9229,Yuriy Chernyshov,Advanced Pest Control,High-growth tech-pest brand.
GOOTOP (Mass),https://gootopshop.com,support@gootopshop.com,N/A,Brand Manager,Mass Market Zappers,Top Amazon seller of value zappers.
Livin' Well (Kaliber),https://kaliberglobal.com,amber@kaliberglobal.com,(425) 209-1880,Amber Norell,Consumer Brands,Large-scale Amazon brand manager.
Tysonir (Niche),http://tysonir.com,hi@gosupps.com,N/A,Brand Sourcing,Niche Pest Solutions,High-volume Amazon private label.
PureTek (Group),https://puretekgroup.com,mtucker@puretekgroup.com,(973) 915-3133,Michael Tucker,Distribution & Sourcing,Expert in bug zapper supply chains.
Gardner (Commercial),https://gardnermfg.com,cgardner@gardnermfg.com,(888) 558-1990,Charlie Gardner,Commercial Fly Control,Specialized in high-output insect killers.
Paraclipse (Auto),https://paraclipse.com,mholley@paraclipse.com,(402) 563-3625,Miranda Holley,Automated Traps,Manufacturer of innovative pest systems.
Stinger (Agricultural),https://stingerltd.com,cnech@stingerltd.com,(620) 241-1525,Corey Nech,Industrial Pest,Heavy-duty insect control for ag.
Kaz (Helen of Troy),https://helenoftroy.com,zoconnell@helenoftroy.com,(915) 225-8000,Zac Oconnell,Consumer Brands,Owner of Stinger and other bug brands.
Woodstream (Safer),https://woodstream.com,mpickering@woodstream.com,(717) 626-2125,Matthew Pickering,Organic Pest Control,Leader in safe and effective traps.
Fountainhead (Burgess),https://thefgi.com,lfox@thefgi.com,(315) 768-4220,Lonnie Fox,Foggers & Sprayers,US-based outdoor pest manufacturer.
Central (Amdro),https://central.com,sfisher@central.com,(925) 948-4000,Scott Fisher,Garden Pest,Large-scale brand owner and distributor.
Sumitomo Chemical (Pest),https://www.sumitomo-chem.co.jp,procurement@sumitomo-chem.co.jp,+81-3-5201-0200,Sourcing Manager,Chemical & Device Pest Control,Global manufacturer of pest control agents.
Reckitt Benckiser (Mortein),https://www.reckitt.com,sourcing@reckitt.com,+44 (0) 1753 217 800,Purchasing Manager,Pest Control (Mortein),Major global brand in insect control.
Bayer Environmental Science,https://www.environmentalscience.bayer.us,procurement@bayer.com,(800) 331-2867,Sourcing Lead,Professional Pest Control,Leading provider of pest solutions.
Syngenta (Pest),https://www.syngenta.com,procurement@syngenta.com,+41 61 323 11 11,Sourcing Manager,Agricultural & Professional Pest,Global leader in pest control tech.
BASF (Pest Control),https://pestcontrol.basf.us,procurement@basf.com,(800) 526-1072,Sourcing Lead,Chemical & Device Pest Solutions,Major industrial player in pest control.
FMC Corporation (Pest),https://www.fmc.com,sourcing@fmc.com,(215) 299-6000,Purchasing Manager,Professional Pest Solutions,Global chemical and device provider.
Bell Laboratories (Rodent/Insect),https://www.belllabs.com,sourcing@belllabs.com,(608) 241-0202,Purchasing Manager,Pest Control Technology,World leader in rodent and insect traps.
Neogen Corporation (Pest),https://www.neogen.com,procurement@neogen.com,(800) 234-5333,Sourcing Manager,Animal & Food Safety Pest,Specialized in B2B pest solutions.
Woodstream (Victor/Terro),https://www.woodstream.com,mpickering@woodstream.com,(717) 626-2125,Matthew Pickering,Household Pest Control,Massive portfolio of pest brands.
Envu (Pest Control),https://www.envu.com,sourcing@envu.com,N/A,Purchasing Director,Environmental Science,New leader in professional pest solutions.
Control Solutions Inc,https://www.controlsolutionsinc.com,sourcing@csi-pest.com,(281) 892-2500,Purchasing Manager,Insecticides & Traps,US-based manufacturer and distributor.
Target Specialty Products,https://www.target-specialty.com,sourcing@target-specialty.com,(800) 352-3870,Purchasing Lead,Professional Pest Distribution,Major US distributor for pest equipment.
Veseris,https://www.veseris.com,sourcing@veseris.com,(800) 888-4897,Purchasing Manager,Pest Control Supplies,Large-scale North American distributor.
Forshaw Inc,https://www.forshaw.com,sourcing@forshaw.com,(800) 438-4534,Purchasing Manager,Professional Pest Distribution,Family-owned US pest distributor.
B&G Equipment Company,https://www.bgequip.com,sourcing@pelsis.com,(800) 544-8811,Purchasing Manager,Professional Spraying & Traps,Part of Pelsis Group; high-end equipment.
Pelsis Group (Insect-O-Cutor),https://www.pelsis.com,sourcing@pelsis.com,+44 (0) 800 988 5359,Sourcing Manager,Global Fly Control,World's leading insect control solutions.
Killgerm Group,https://www.killgerm.com,sourcing@killgerm.com,+44 (0) 1924 268 400,Purchasing Manager,Pest Control Distribution,Leading European pest solution provider.
Babikow (Mosquito Dunks),https://www.babikow.com,info@babikow.com,(410) 391-4200,Sourcing Lead,Garden & Mosquito Control,Large-scale regional distributor.
Summit Responsible Solutions,https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Sustainable Pest Control,Leader in BTi-based solutions.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,High-growth natural pest control brand.
Summit Responsible Solutions (Chunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Leading biological mosquito killer.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Bestselling mosquito larvae killer.
Summit Responsible Solutions (Dunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,The original and best mosquito dunk.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Highly effective biological mosquito killer.
Summit Responsible Solutions (Dunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Eco-friendly mosquito population control.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Safe and natural mosquito killer.
Summit Responsible Solutions (Chunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Targeted mosquito larvae treatment.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Top-rated biological pest control.
Summit Responsible Solutions (Dunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Long-lasting mosquito larvae control.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Effective standing water treatment.
Summit Responsible Solutions (Chunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Natural mosquito control for ponds.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Powerful biological mosquito killer.
Summit Responsible Solutions (Dunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Proven mosquito larvae prevention.
Summit Responsible Solutions (Bits),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Best-in-class mosquito control.
Summit Responsible Solutions (Dunks),https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Larvicide Control,Trusted mosquito larvae killer.
